万弩  4
万彧  1
万户  2
万户侯  3
万政  4
万政言  1
万斛泉源  2
万无一失  9
万望  2
万机  1
万死  6
万死不辞  9
万死犹轻  1
万民  8
万民涂炭  2
万灵  1
万点  1
万物  28
万物之灵  1
万病  1
万章  1
万精兵  2
万艘  1
万花筒  2
万言书  1
万象  1
万载  1
万邦  1
万里  11
万金  2
万顷  1
万马争  1
丈二  1
丈人  1
丈余  3
丈八矛  2
丈八蛇矛  4
丈八长标  1
丈夫  25
丈者  1
三  198
三七  3
三七二十一  1
三万  42
三万二千  1
三万人  1
三万余  4
三丈  3
三三  15
三三五五  1
三下  16
三下两下  2
三下五除二  1
三世  4
三个  43
三乐  1
三九  2
三事  4
三二  5
三二六  1
三五  5
三五匹  1
三五十  1
三五十个  1
三五千  3
三五日  2
三五次  2
三五里  1
三人  62
三人入  1
三人别  1
三人困  1
三人操  2
三人救  1
三人曰  1
三人直  1
三人能  1
三人飞  1
三代  5
三令五申  1
三件  4
三位  1
三位一体  7
三例  1
三停  3
三元  2
三光  1
三八  18
三公  14
三军  88
三分  14
三分之一  2
三分之二  4
三分天下有其二  2
三分法  2
三分鼎足  1
三匹  4
三十  21
三十七岁  1
三十万  11
三十个  1
三十九岁  1
三十二年  1
三十余  25
三十余万  7
三十余年  6
三十余里  10
三十八岁  1
三十六  1
三十六岁  3
三十六年  1
三十六方  1
三十只  3
三十四万  1
三十四岁  1
三十四年  1
三十年  7
三十日  2
三十步  1
三十里  34
三千  113
三千余  5
三千余只  1
三升  3
三卷  3
三县  1
三叉  1
三叔  2
三台  2
三合  41
三名  1
三员  3
三哲  2
三四  2
三四个  2
三四十  5
三四十万  1
三四十丈  1
三四十里  1
三四百  1
三四百个  1
三四里  1
三回  4
三回五次  2
三国  16
三国志  12
三国演义  12
三场  1
三型  2
三城  2
三声  4
三处  12
三夜  3
三大  11
三大派  2
三大流  2
三大类  6
三天  2
三姓家奴  1
三子  15
三字于  1
三季  1
三官  1
三宝  1
三家  6
三寨  10
三寸  3
三寸不烂之舌  6
三寸之舌  1
三寸舌  2
三封  1
三尺  16
三层  6
三山  1
三峡  2
三巡  1
三幅  1
三年  22
三年级  2
三度  1
三座  2
三弟  1
三弦  6
三忌也  1
三思  4
三思而行  1
三性  1
三恶道  2
三战虎  1
三户  1
三投  1
三拜  1
三擒  1
三教  2
三教九流  3
三斗  1
三族  6
三日  45
三曰植  1
三月  7
三月不知肉味  1
三条  9
三枝  1
三枪  1
三株  1
三档  1
三次  12
三段  1
三段论式  1
三毛  1
三气  1
三求计  1
三江  14
三江口  5
三河  1
三泉  1
三洞  5
三流  4
三爵  1
三物  1
三王  1
三生  3
三甲  1
三界  1
三番  2
三百  23
三百余  11
三百余匹  1
三百余里  6
三百六十五  2
三百六十里  2
三百只  1
三百多  1
三百年  2
三百里  4
三盒  1
三种  16
三窟  1
三等  1
三箭  4
三约  1
三级跳远  2
三纲  1
三维  2
三维空间  3
三缕  1
三罪  2
三者  9
三联书店  1
三脚  1
三般  1
三苏  2
三营  1
三要  1
三要素  3
三角  1
三言两语  1
三说  1
三贼  1
三路  84
三载  3
三辆  1
三辈  1
三辞  2
三迁  1
三通  7
三道  3
三遭  1
三郡  7
三部  1
三里  3
三里河  1
三门  6
三间  1
三队  10
三面  11
三音  6
三顾  5
三顾茅庐  1
三顾草庐  1
三颗  1
三首  1
三马同槽  4
三魂  1
三鼓  1
上  1310
上万  1
上上下下  1
上下齐心  1
上乘  1
上也  2
上书  30
上了  1
上争  1
上京  1
上人  4
上人眉  1
上人立  1
上任  1
上位  1
上候  1
上党  3
上关  9
上冈杀  1
上册  1
上写  1
上初  1
上判云  1
上刻  1
上前  2
上升  9
上午  7
上半期  1
上半部  1
上卷  6
上厅  2
上去  11
上口  1
上古  2
上古时代  2
上台  6
上合  2
上告  1
上命  3
上唤曰  1
上围  1
上国  3
上图  2
上场  1
上坐  1
上坛  1
上坡  2
上城  19
上堂  2
上声  1
上大呼曰  3
上天  10
上天入地  2
上头  5
上妆  1
上学  21
上学时  1
上守  1
上客  1
上宾  9
上密表  1
上对  1
上寿  1
上射  1
上将  31
上尊  1
上屋  2
上山  21
上岭  3
上岸  19
上崩下  1
上巾  1
上帝  4
上帝教  1
上年  1
上床  4
上床睡觉  2
上庸  7
上庸兵  1
上建  2
上建庙  1
上弦  2
上形  1
上往  1
上户  1
上扎下  1
上报  3
上拉  1
上拔  1
上接  1
上推  1
上放起  1
上方  12
上时  3
上晃  1
上暗  1
上曰  2
上望  2
上杠  1
上来  20
上极  1
上林苑  1
上枪  1
上架  1
上桥  1
上桥曰  1
上梁  2
上楼  2
上楼来  1
上止  2
上殿  4
上气不接下气  1
上泼  1
上洛  1
上流  16
上浮  3
上海  1
上海人民出版社  1
上海文艺出版社  1
上海译文出版社  3
上涂  1
上涌  1
上添  1
上游  2
上溯  1
上演  2
上火  4
上焦  1
上爬  3
上牙旗  1
上狠  1
上献  2
上玉砚  1
上生  1
上画  2
上的  4
上皆用  1
上盈  1
上直  1
上积  1
上移  1
上空  2
上立  1
上策  14
上篷索  1
上系  2
上缚  1
上缚布  1
上者  2
上耶  1
上舞  1
上船  17
上苍  1
上荡进  1
上药  1
上虞  2
上行  2
上街  1
上表  40
上被  1
上要  1
上覆  1
上见  1
上言  3
上言曰  1
上计  5
上读  1
上课  7
上贤  1
上路  8
上身  3
上车  12
上载  1
上达于  2
上述  20
上通  1
上遍  1
上配  1
上金泽  1
上银幕  1
上铺  2
上门  1
上闻  1
上阵  2
上青霄  1
上面  14
上风  1
上飞  1
上食  1
上饭  1
上首  4
上马  188
上高  2
下  572
下三寨  1
下不去  1
下不至  1
下为  1
下主簿  1
下之  1
下乎  1
下乡  2
下书  2
下书人  3
下二贼  1
下于  2
下井  1
下亡  2
下亮  1
下人  1
下令  45
下住  2
下像  1
下关  20
下兵  1
下冲  1
下凝而  1
下分  3
下列  3
下则  1
下别  1
